ID,UserID,Username,Name,Email,Adress,SSN,Company,Registration,Coordinates
8630330696303481628,1984,ehorne,Alicia Norman,sarah28@yahoo.com,"33086 Matthew Glens
East Dennisport, VI 88422",249-12-0967,Gilbert-Wright,2019-11-22,"(Decimal('5.7948455'), Decimal('32.423690'))"
863033069630348024,1404,hking,Samuel Fields,grahamjoshua@yahoo.com,"766 Barnes Heights Suite 236
Mariafurt, OR 10818",255-55-3436,"Francis, Nichols and Mendez",2024-08-19,"(Decimal('-31.286773'), Decimal('71.138696'))"
3590433799317662469,1645,morganchase,Thomas Lloyd,belllaura@yahoo.com,not included,578-31-7405,"Combs, Sanchez and Calhoun",2021-10-03,"(Decimal('53.8732785'), Decimal('-158.482758'))"
8630330696303481388,854,david66,Edward Brown,shieldsrichard@hotmail.com,"1088 Weaver Prairie
Priceton, MN 17706",079-83-9171,"Cole, Moore and Grimes",2024-07-31,"(Decimal('-44.6071825'), Decimal('68.606055'))"
3590433799317661917,1803,scott17,Joseph Hart,jason79@yahoo.com,"81692 Park Greens
Hernandezstad, WV 32899",624-99-9580,Villarreal-Middleton,2021-05-16,"(Decimal('-19.3991525'), Decimal('-142.727922'))"
359043379931766718,247,masonmelissa,Erin Warren,ronald03@yahoo.com,"127 Raymond Mountain
North Scott, FL 65483",142-98-9813,Hurst LLC,2023-03-17,"(Decimal('37.6781585'), Decimal('167.014327'))"
8630330696303481024,272,tyler47,Donald Jones,larsensandra@hotmail.com,"0642 Smith Lodge
Abbottmouth, NH 84812",866-26-0510,Green Group,2023-10-07,"(Decimal('-15.215539'), Decimal('-79.370995'))"
8630330696303481545,1767,piercechristine,Dawn Lee,steven64@hotmail.com,"PSC 3194, Box 5438
APO AA 64688",129-06-7708,"Hughes, Morris and Cook",2022-12-28,"(Decimal('37.5664465'), Decimal('99.676454'))"
3590433799317661461,1916,williamcontreras,Nichole Joseph,justinjones@gmail.com,"89063 Rodriguez Cove Suite 022
Cisnerosborough, NY 30760",373-14-8070,Evans and Sons,2019-09-25,"(Decimal('6.222286'), Decimal('12.933179'))"
3590433799317661867,844,davisjesus,Kelli Delgado,robert39@gmail.com,not included,151-60-0801,Graham and Sons,2020-06-16,"(Decimal('39.7633425'), Decimal('92.499574'))"
